Complexity metrics,星期日, 29 十一月 2015 12:47:30 CST
Method,eV(g),iV(g),V'(g),V(g)
"org.broadleafcommerce.core.offer.service.type.OfferItemRestrictionRuleType.equals(Object)",7,2,7,7
"org.broadleafcommerce.core.offer.service.type.OfferItemRestrictionRuleType.getFriendlyType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferItemRestrictionRuleType.getInstance(String)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferItemRestrictionRuleType.getType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferItemRestrictionRuleType.hashCode()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferItemRestrictionRuleType.setType(String)",1,2,2,2
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.OfferRuleType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.OfferRuleType(String,String)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.equals(Object)",7,2,7,7
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.getFriendlyType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.getInstance(String)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.getType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.hashCode()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferRuleType.setType(String)",1,2,2,2
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.OfferTimeZoneType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.OfferTimeZoneType(String,String)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.OfferTimeZoneType(String,String,Boolean)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.equals(Object)",7,2,7,7
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.getFriendlyType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.getInstance(String)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.getJavaStandardTimeZone()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.getType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.hashCode()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.setJavaStandardTimeZone(Boolean)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferTimeZoneType.setType(String)",1,2,2,2
"org.broadleafcommerce.core.offer.service.type.OfferType.OfferType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.OfferType(String,String,int)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.compareTo(OfferType)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.equals(Object)",7,2,7,7
"org.broadleafcommerce.core.offer.service.type.OfferType.getFriendlyType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.getInstance(String)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.getOrder()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.getType()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.hashCode()",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.setOrder(int)",1,1,1,1
"org.broadleafcommerce.core.offer.service.type.OfferType.setType(String)",1,2,2,2
"org.broadleafcommerce.core.offer.service.workflow.RecordOfferUsageActivity.execute(ProcessContext<CheckoutSeed>)",1,1,1,1
"org.broadleafcommerce.core.offer.service.workflow.RecordOfferUsageActivity.saveOfferIds(Set<Offer>,Map<Offer, OfferCode>,Order)",1,3,3,3
"org.broadleafcommerce.core.offer.service.workflow.RecordOfferUsageRollbackHandler.rollbackState(Activity<? extends ProcessContext<CheckoutSeed>>,ProcessContext<CheckoutSeed>,Map<String, Object>)",1,2,2,2
"org.broadleafcommerce.core.offer.service.workflow.VerifyCustomerMaxOfferUsesActivity.execute(ProcessContext<CheckoutSeed>)",7,6,7,7
"org.broadleafcommerce.core.order.FulfillmentGroupDataProvider.provideBasicSalesFulfillmentGroup()",1,1,1,1
"org.broadleafcommerce.core.order.FulfillmentGroupDataProvider.provideBasicSalesFulfillmentGroupLegacy()",1,1,1,1
"org.broadleafcommerce.core.order.OrderDataProvider.provideBasicSalesOrder()",1,1,1,1
"org.broadleafcommerce.core.order.OrderItemDataProvider.provideBasicDiscreteSalesOrderItem()",1,1,1,1
"org.broadleafcommerce.core.order.OrderItemDataProvider.provideBasicGiftWrapSalesOrderItem()",1,1,1,1
"org.broadleafcommerce.core.order.dao.AbstractOrderDaoExtensionHandler.applyAdditionalOrderLookupFilter(Customer,String,List<Order>)",1,1,1,1
"org.broadleafcommerce.core.order.dao.AbstractOrderDaoExtensionHandler.attachAdditionalDataToNewCart(Customer,Order)",1,1,1,1
"org.broadleafcommerce.core.order.dao.AbstractOrderDaoExtensionHandler.processPostSaveNewCart(Customer,Order)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.create()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.createDefault()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.createFulfillmentGroupFee()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.delete(FulfillmentGroup)",1,2,2,2
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readDefaultFulfillmentGroupForOrder(Order)",1,1,2,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readFulfillmentGroupById(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readFulfillmentGroupsByStatus(FulfillmentGroupStatusType,int,int)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readFulfillmentGroupsByStatus(FulfillmentGroupStatusType,int,int,boolean)",1,2,2,2
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readNextFulfillmentGroupSequnceForOrder(Order)",3,2,4,3
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readPartiallyFulfilledFulfillmentGroups(int,int)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readUnfulfilledFulfillmentGroups(int,int)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.readUnprocessedFulfillmentGroups(int,int)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoImpl.save(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoTest.createDefaultFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoTest.createFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoTest.readDefaultFulfillmentGroupForId()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoTest.readDefaultFulfillmentGroupForOrder()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupDaoTest.readFulfillmentGroupsForId()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoImpl.create()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoImpl.delete(FulfillmentGroupItem)",1,2,2,2
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoImpl.readFulfillmentGroupItemById(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoImpl.readFulfillmentGroupItemsForFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoImpl.save(FulfillmentGroupItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoTest.createDefaultFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoTest.createFulfillmentGroupItem(DiscreteOrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoTest.readFulfillmentGroupItemsById()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentGroupItemDaoTest.readFulfillmentGroupItemsForFulfillmentGroup()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentOptionDaoImpl.readAllFulfillmentOptions()",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentOptionDaoImpl.readAllFulfillmentOptionsByFulfillmentType(FulfillmentType)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentOptionDaoImpl.readFulfillmentOptionById(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.FulfillmentOptionDaoImpl.save(FulfillmentOption)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoExtensionManager.OrderDaoExtensionManager()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoExtensionManager.continueOnHandled()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.acquireLock(Order)",2,2,2,2
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.create()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.createNewCartForCustomer(Customer)",3,6,6,6
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.delete(Order)",1,4,4,4
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.getDatabaseOrderLockSessionAffinity()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.getDatabaseOrderLockTimeToLive()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.getOrderLockKey()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readBatchOrders(int,int,List<OrderStatus>)",1,3,3,3
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readCartForCustomer(Customer)",1,2,3,2
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readNamedOrderForCustomer(Customer,String)",1,5,7,5
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readOrderById(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readOrderById(Long,boolean)",1,2,2,2
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readOrderByOrderNumber(String)",2,1,4,2
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readOrdersByIds(List<Long>)",2,2,4,3
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readOrdersForCustomer(Customer,OrderStatus)",2,2,2,2
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.readOrdersForCustomer(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.releaseLock(Order)",3,3,3,3
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.save(Order)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.submitOrder(Order)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoImpl.updatePrices(Order)",1,2,2,2
"org.broadleafcommerce.core.order.dao.OrderDaoTest.createOrder(Order)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoTest.readOrderById()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderDaoTest.readOrdersForCustomer()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.create(OrderItemType)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.createOrderItemPriceDetail()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.createOrderItemQualifier()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.createPersonalMessage()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.delete(OrderItem)",1,4,4,4
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.initializeOrderItemPriceDetails(OrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.readOrderItemById(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.save(OrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoImpl.saveOrderItem(OrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoTest.createDiscreteOrderItem(DiscreteOrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoTest.createGiftWrapOrderItem(GiftWrapOrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoTest.deleteGiftWrapOrderItemsById()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoTest.readGiftWrapOrderItemsById()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoTest.readOrderItemsById()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderItemDaoTest.readOrderItemsByIdAfterGiftWrapDeletion()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderMultishipOptionDaoImpl.create()",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderMultishipOptionDaoImpl.deleteAll(List<OrderMultishipOption>)",1,2,2,2
"org.broadleafcommerce.core.order.dao.OrderMultishipOptionDaoImpl.readOrderItemOrderMultishipOptions(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderMultishipOptionDaoImpl.readOrderMultishipOptions(Long)",1,1,1,1
"org.broadleafcommerce.core.order.dao.OrderMultishipOptionDaoImpl.save(OrderMultishipOption)",1,1,1,1
"org.broadleafcommerce.core.order.dao.legacy.LegacyFulfillmentGroupDaoTest.createDefaultFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.legacy.LegacyFulfillmentGroupDaoTest.createFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.dao.legacy.LegacyFulfillmentGroupDaoTest.readDefaultFulfillmentGroupForId()",1,1,1,1
"org.broadleafcommerce.core.order.dao.legacy.LegacyFulfillmentGroupDaoTest.readDefaultFulfillmentGroupForOrder()",1,1,1,1
"org.broadleafcommerce.core.order.dao.legacy.LegacyFulfillmentGroupDaoTest.readFulfillmentGroupsForId()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.checkCloneable(BundleOrderItemFeePrice)",2,1,3,2
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.clone()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.convertToMoney(BigDecimal)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.equals(Object)",20,6,20,20
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.getAmount()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.getBundleOrderItem()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.getId()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.getName()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.getReportingCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.hashCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.isTaxable()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.setAmount(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.setBundleOrderItem(BundleOrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.setId(Long)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.setName(String)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.setReportingCode(String)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemFeePriceImpl.setTaxable(Boolean)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.clone()",1,5,5,5
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.convertToMoney(BigDecimal)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.equals(Object)",9,3,10,9
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getAllowDiscountsOnChildItems()",3,3,3,3
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getBaseRetailPrice()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getBaseSalePrice()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getBundleOrderItemFeePrices()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getDiscreteOrderItems()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getOrderItems()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getProduct()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getProductBundle()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getRetailPrice()",2,4,4,4
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getSalePrice()",2,6,6,6
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getSku()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getTaxablePrice()",2,5,5,5
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.getTotalPrice()",1,3,3,3
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.hasAdjustedItems()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.hasSaleItems()",3,2,3,3
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.hashCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.isDiscountingAllowed()",2,2,2,2
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.isPricingAtContainerLevel()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.isSkuActive()",4,2,5,4
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.isTaxable()",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.setBaseRetailPrice(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.setBaseSalePrice(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.setBundleOrderItemFeePrices(List<BundleOrderItemFeePrice>)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.setDiscreteOrderItems(List<DiscreteOrderItem>)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.setProductBundle(ProductBundle)",1,1,1,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.setSku(Sku)",1,4,4,4
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.shouldSumItems()",2,2,2,2
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.updateRetailPrice()",4,3,5,4
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.updateSaleAndRetailPrices()",1,1,2,1
"org.broadleafcommerce.core.order.domain.BundleOrderItemImpl.updateSalePrice()",4,3,4,4
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.checkCloneable(DiscreteOrderItemFeePrice)",2,1,3,2
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.clone()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.convertToMoney(BigDecimal)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.equals(Object)",19,6,19,19
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.getAmount()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.getDiscreteOrderItem()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.getId()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.getName()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.getReportingCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.hashCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.setAmount(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.setDiscreteOrderItem(DiscreteOrderItem)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.setId(Long)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.setName(String)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemFeePriceImpl.setReportingCode(String)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.clone()",2,4,5,5
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.convertToMoney(BigDecimal)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.createOrRetrieveCopyInstance(MultiTenantCopyContext)",2,1,2,2
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.equals(Object)",12,4,13,12
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.findParentItem()",5,4,5,5
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getAdditionalAttributes()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getBaseRetailPrice()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getBaseSalePrice()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getBundleOrderItem()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getDiscreteOrderItemFeePrices()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getName()",2,2,2,2
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getOrder()",3,3,3,3
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getProduct()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getSku()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.getSkuBundleItem()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.hashCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.isDiscountingAllowed()",2,2,2,2
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.isSkuActive()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.isTaxable()",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setAdditionalAttributes(Map<String, String>)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setBaseRetailPrice(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setBaseSalePrice(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setBundleOrderItem(BundleOrderItem)",2,1,3,2
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setDiscreteOrderItemFeePrices(List<DiscreteOrderItemFeePrice>)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setOrder(Order)",2,1,3,2
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setProduct(Product)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setSku(Sku)",1,3,3,3
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.setSkuBundleItem(SkuBundleItem)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.updateRetailPrice()",2,6,7,7
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.updateSaleAndRetailPrices()",1,2,6,3
"org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl.updateSalePrice()",2,9,13,11
"org.broadleafcommerce.core.order.domain.DynamicPriceDiscreteOrderItemImpl.setSku(Sku)",1,1,1,1
"org.broadleafcommerce.core.order.domain.DynamicPriceDiscreteOrderItemImpl.updateSaleAndRetailPrices()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.equals(Object)",19,6,19,19
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getAmount()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getCurrencyCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getFulfillmentGroup()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getId()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getName()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getReportingCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getTaxes()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.getTotalTax()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.hashCode()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.isTaxable()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setAmount(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setFulfillmentGroup(FulfillmentGroup)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setId(Long)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setName(String)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setReportingCode(String)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setTaxable(Boolean)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setTaxes(List<TaxDetail>)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupFeeImpl.setTotalTax(Money)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.addCandidateFulfillmentGroupOffer(CandidateFulfillmentGroupOffer)",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.addFulfillmentGroupFee(FulfillmentGroupFee)",1,1,2,2
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.addFulfillmentGroupItem(FulfillmentGroupItem)",1,1,2,2
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.equals(Object)",11,4,12,11
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.getAddress()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.getCandidateFulfillmentGroupOffers()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.getCurrencyCode()",2,2,2,2
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.getDeliveryInstruction()",1,1,1,1
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.getDiscreteOrderItems()",1,5,5,5
"org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl.getFulfillmentGroupAdjustments()",1,1,1,1
